Name,Political party,href,True,Mostly True,Half True,Mostly False,False,Pants on Fire
 13th District GOP slate,Republican,https://www.politifact.com/personalities/13th-district-gop-slate/,0,0,1,0,0,0
 18% of the American public,None,https://www.politifact.com/personalities/18-percent-american-public/,0,0,0,0,0,1
 60 Plus Association,None,https://www.politifact.com/personalities/60-plus-association/,0,0,0,2,1,1
 AARP,None,https://www.politifact.com/personalities/AARP/,0,1,0,0,0,0
Greg Abbott,Republican,https://www.politifact.com/personalities/greg-abbott/,1,1,1,1,1,6
Kareem Abdul-Jabbar,None,https://www.politifact.com/personalities/kareem-abdul-jabbar/,0,0,0,1,0,0
Huma Abedin,Democrat,https://www.politifact.com/personalities/huma-abedin/,0,0,0,0,0,0
Chris Abele,Democrat,https://www.politifact.com/personalities/chris-abele/,1,4,5,3,5,2
Stacey Abrams,Democrat,https://www.politifact.com/personalities/stacey-abrams/,1,2,6,0,2,0
 Accountability in Government,None,https://www.politifact.com/personalities/accountability-government/,1,0,0,0,0,0
Steve Acenbrak,None,https://www.politifact.com/personalities/steve-acenbrak/,0,1,0,0,0,0
Art Acevedo,None,https://www.politifact.com/personalities/art-acevedo/,0,1,0,0,0,0
 ACLU Foundation of Georgia,None,https://www.politifact.com/personalities/aclu-georgia-foundation/,1,0,0,0,0,0
 ACLU of North Carolina,Organization,https://www.politifact.com/personalities/aclu-north-carolina/,1,0,0,0,0,0
 Act for America,None,https://www.politifact.com/personalities/act-america/,0,0,0,0,1,0
ClearPath Action Fund,Republican,https://www.politifact.com/personalities/clearpath-action-fund/,0,0,0,1,0,0
 Activist Mommy,None,https://www.politifact.com/personalities/activist-mommy/,0,0,0,1,0,0
Matt Adamczyk,Republican,https://www.politifact.com/personalities/matt-adamczyk/,0,1,0,0,0,0
Alma Adams,Democrat,https://www.politifact.com/personalities/alma-adams/,0,2,2,0,0,0
Michael Adams,None,https://www.politifact.com/personalities/michael-adams/,0,0,1,0,0,0
Jerome Adams,Newsmaker,https://www.politifact.com/personalities/jerome-adams/,0,0,1,0,1,0
Sam Adams,Democrat,https://www.politifact.com/personalities/sam-adams/,3,2,5,3,2,0
