,videoid,publishedAt,thumbnail_url,hashtags,viewCount,commentCount
0,M0SSObmVDN8,2022-11-02T18:54:06Z,https://i.ytimg.com/vi/M0SSObmVDN8/hqdefault.jpg,{'#Pokisindian'},16715,71
1,XiIIi4GRKzY,2022-10-27T18:55:40Z,https://i.ytimg.com/vi/XiIIi4GRKzY/hqdefault.jpg,{'#NehruCompromisedindia'},18800,136
2,3-GIuGrRQxE,2022-10-19T17:32:40Z,https://i.ytimg.com/vi/3-GIuGrRQxE/hqdefault.jpg,{'#PakBoycottBluff'},79761,427
3,mopQI-YoENs,2022-10-10T18:15:03Z,https://i.ytimg.com/vi/mopQI-YoENs/hqdefault.jpg,{'#NeechPolitics'},6139,35
4,dCKqbtEzK8M,2022-09-06T18:45:01Z,https://i.ytimg.com/vi/dCKqbtEzK8M/hqdefault.jpg,{'#ModiVsWho'},21822,91
5,XeRY-sA-4d0,2022-08-05T17:37:25Z,https://i.ytimg.com/vi/XeRY-sA-4d0/hqdefault.jpg,{'#VadraGandhiFiles'},49512,84
6,eGU5IJFJg9w,2022-10-28T19:26:59Z,https://i.ytimg.com/vi/eGU5IJFJg9w/hqdefault.jpg,{'#KhushbuFightsBack'},7307,46
7,FQkO9TfjkMY,2022-09-14T18:22:26Z,https://i.ytimg.com/vi/FQkO9TfjkMY/hqdefault.jpg,{'#SurveyWontStop'},20815,78
8,lSBLtIGnA6I,2022-08-03T17:36:16Z,https://i.ytimg.com/vi/lSBLtIGnA6I/hqdefault.jpg,{'#CongEDPanic'},90320,84
9,tzw7-ccsKY4,2022-08-23T17:45:00Z,https://i.ytimg.com/vi/tzw7-ccsKY4/hqdefault.jpg,{'#LiquorGate'},65634,70
10,7Vrb0rZPUqg,2022-10-31T18:56:19Z,https://i.ytimg.com/vi/7Vrb0rZPUqg/hqdefault.jpg,{'#WireCrime'},15845,59
11,UiYW8C2ssMw,2022-08-10T17:32:22Z,https://i.ytimg.com/vi/UiYW8C2ssMw/hqdefault.jpg,{'#NitishTargetsModi'},104260,164
12,12HItloO7EA,2022-09-02T18:15:00Z,https://i.ytimg.com/vi/12HItloO7EA/hqdefault.jpg,{'#VikrantPolitics'},16105,75
13,YAAZZAmhk60,2022-06-29T18:26:32Z,https://i.ytimg.com/vi/YAAZZAmhk60/hqdefault.jpg,{'#UddhavOut'},387186,200
14,kru9KJh2o7s,2022-10-12T17:43:19Z,https://i.ytimg.com/vi/kru9KJh2o7s/hqdefault.jpg,{'#SilenceOfTheLobby'},40514,45
15,rzBYHSr8y94,2022-09-08T17:17:37Z,https://i.ytimg.com/vi/rzBYHSr8y94/hqdefault.jpg,{'#NetajiOnKartavyaPath'},21903,37
16,q219V8IhlII,2021-08-16T19:30:50Z,https://i.ytimg.com/vi/q219V8IhlII/hqdefault.jpg,"{'#TalibanInPakNext', '#TalibaninPakNext'}",169424,1238
17,pKWS3TvOUU0,2022-08-26T18:21:46Z,https://i.ytimg.com/vi/pKWS3TvOUU0/hqdefault.jpg,{'#DelhiSchoolgate'},12308,79
18,XnJ_BWQkUiM,2022-10-28T19:30:05Z,https://i.ytimg.com/vi/XnJ_BWQkUiM/hqdefault.jpg,{'#HinduHlolocoust'},8974,36
19,Ve4O-gKWBDI,2022-09-07T18:30:24Z,https://i.ytimg.com/vi/Ve4O-gKWBDI/hqdefault.jpg,{'#RahulRobertJodi'},18426,140
20,ZT4aqvSI4dk,2022-10-31T18:45:00Z,https://i.ytimg.com/vi/ZT4aqvSI4dk/hqdefault.jpg,{'#MorbiScam'},4068,26
21,qml5qxX1R90,2022-10-05T18:24:55Z,https://i.ytimg.com/vi/qml5qxX1R90/hqdefault.jpg,{'#BRSvsBJP'},9956,98
22,xOoWpfFgbtg,2022-10-17T18:13:53Z,https://i.ytimg.com/vi/xOoWpfFgbtg/hqdefault.jpg,{'#KhargeBooster'},3221,4
23,399LvzjF7mY,2021-12-03T18:10:29Z,https://i.ytimg.com/vi/399LvzjF7mY/hqdefault.jpg,{'#BrokePakistan'},120161,394
24,7Hg1NXOUR8Y,2022-10-10T17:48:13Z,https://i.ytimg.com/vi/7Hg1NXOUR8Y/hqdefault.jpg,{'#NoToNukes'},54890,85
25,E3UzbUOpvDI,2022-04-02T17:34:55Z,https://i.ytimg.com/vi/E3UzbUOpvDI/hqdefault.jpg,{'#Ri'},399496,2042
26,GDifTgLE4ao,2022-11-01T19:30:00Z,https://i.ytimg.com/vi/GDifTgLE4ao/hqdefault.jpg,"{'#WireLie', '#WireLies', '#tWireLies'}",9648,64
27,_n1ssmWLM2M,2022-07-20T18:30:25Z,https://i.ytimg.com/vi/_n1ssmWLM2M/hqdefault.jpg,{'#GSTPolitics'},5220,17
28,zpKrcArS3J0,2021-11-16T18:28:43Z,https://i.ytimg.com/vi/zpKrcArS3J0/hqdefault.jpg,{'#CryptoBubble'},9875,78
29,Nrlk0kFieS0,2019-05-25T05:40:45Z,https://i.ytimg.com/vi/Nrlk0kFieS0/hqdefault.jpg,{'#LutyensCrisis'},207862,946
30,RxmoxsbO0os,2019-09-28T06:33:03Z,https://i.ytimg.com/vi/RxmoxsbO0os/hqdefault.jpg,{'#imranExposesPak'},382651,2976
31,Bf3NFVVDFZc,2020-07-21T19:11:11Z,https://i.ytimg.com/vi/Bf3NFVVDFZc/hqdefault.jpg,"{'#IndiaWantsSushantTruth', '#IndiaWantsSushanttTruth'}",1084286,9568
32,ML8TqnkE18k,2020-06-10T18:26:40Z,https://i.ytimg.com/vi/ML8TqnkE18k/hqdefault.jpg,{'#PakPanics'},260224,1942
33,eH8j2Aw-LTg,2021-07-02T16:57:04Z,https://i.ytimg.com/vi/eH8j2Aw-LTg/hqdefault.jpg,{'#PakCrossesLimits'},171497,382
34,xC9v9c_0XBo,2019-12-11T06:25:14Z,https://i.ytimg.com/vi/xC9v9c_0XBo/hqdefault.jpg,{'#HangThemNow'},29722,193
35,iBuCCC7jc1Y,2020-05-20T18:51:36Z,https://i.ytimg.com/vi/iBuCCC7jc1Y/hqdefault.jpg,{'#ChinaUsesNepal'},541448,13331
36,GBFjMCt0xbE,2022-10-07T17:43:17Z,https://i.ytimg.com/vi/GBFjMCt0xbE/hqdefault.jpg,{'#CholaDebate'},62470,300
37,EfFeA6S6_pM,2018-11-06T04:40:48Z,https://i.ytimg.com/vi/EfFeA6S6_pM/hqdefault.jpg,"{'#DiwaliWaringForPak', '#Diwa'}",82767,548
38,uJvKT8kfOAw,2019-12-07T06:36:34Z,https://i.ytimg.com/vi/uJvKT8kfOAw/hqdefault.jpg,"{'#Hyd', '#HyderabadJustice'}",249359,1217
39,2QTW_mPTTOk,2019-03-20T04:06:17Z,https://i.ytimg.com/vi/2QTW_mPTTOk/hqdefault.jpg,{'#BihariDacoitinsult'},90952,920
40,YWAPmVl9jrs,2020-09-15T19:12:29Z,https://i.ytimg.com/vi/YWAPmVl9jrs/hqdefault.jpg,{'#WakeUpBollywood'},837478,5206
41,mnyhBzYjrTs,2019-01-16T05:21:18Z,https://i.ytimg.com/vi/mnyhBzYjrTs/hqdefault.jpg,{'#TukdeTukdePlot'},130791,545
42,Jo-qGzNe3Pc,2021-06-29T18:14:19Z,https://i.ytimg.com/vi/Jo-qGzNe3Pc/hqdefault.jpg,{'#IndiaVaccineRecord'},9894,35
43,6Sn-Ez3u6Q4,2021-06-23T16:53:42Z,https://i.ytimg.com/vi/6Sn-Ez3u6Q4/hqdefault.jpg,{'#LootMoneyReturns'},19870,49
